HelpChooser {选择帮助章节}
MainInterface {界面设置}
DialogControls {对话}
WorldMapControls {世界地图}
BattleInterfaceControls {控制设置}
Sailing1Pers {第一人称海景}
Sailing3Pers {第三人称海景视角}
FightModeControls {战斗模式}
PrimaryLand {陆地操作}
ShipCamera_Forward {拉近船只镜头}
ShipCamera_Backward {拉远船只摄像机}
DeckCamera_Turn_V {垂直镜头旋转（甲板视角）}
DeckCamera_Turn_H {水平镜头旋转（甲板视角）}
ShipCamera_Turn_V {相机垂直移动（船只视角）}
ShipCamera_Turn_H {相机水平移动（船只视角）}
DeckCamera_Forward {前进（甲板视角）}
DeckCamera_Backward {返回（甲板视角）}
Ship_TurnLeft {向左转舵}
Ship_TurnRight {向右转舵}
Ship_SailUp {升帆}
Ship_SailDown {收帆}
Ship_Fire {炮击齐射}
Sea_CameraSwitch {切换摄像机“船只视角”/“甲板视角”}
Sea_CameraSwitchShort {切换摄像机}
Sea_CameraShip {船只视角}
Sea_CameraDeck {甲板视角}
Telescope {切换望远镜}
TelescopeIn {望远镜放大}
TelescopeOut {退出望远镜视角}
TelescopeZoom {缩放}
Interface {角色菜单}
CharacterShipMenu {角色飞船菜单}
LogbookMenu {航行日志菜单}
ItemsMenu {物品菜单}
NationsMenu {国家菜单}
MainMenu {主菜单}
MainMenuDouble {主菜单}
MiniMapZoomIn {放大小地图}
MiniMapZoomOut {缩小小地图}
BIFastCommand {快速操作}
hk_charge1 {用实心弹装填火炮}
hk_charge2 {用霰弹装填火炮}
hk_charge3 {用链弹装填火炮}
hk_charge4 {装填火炮炸弹}
hk_perk1 {激活技能“快速转向”}
hk_perk2 {激活技能“预装填”}
hk_perk3 {激活技能“紧急修理”}
hk_perk4 {激活技能“修补漏洞”}
hk_cabin {进入船长舱}
Ship_Select {选择船只}
Order_Select {选择指令}
FireZoneKey {显示射程范围}
FireZoneKeyHide {隐藏射程范围}
ChrCamTurnV {摄像机跟随角色的垂直移动}
ChrCamTurnH {摄像机跟随角色的水平移动}
ChrCamCameraSwitch {切换第一/第三人称视角}
ChrAction {执行操作}
ChrForward {前进}
ChrBackward {后退}
ChrStrafeLeft {向左移动}
ChrStrafeRight {向右移动}
ChrSprint {冲刺}
ChrFightMode {切换战斗模式}
BOAL_UsePotion {使用治疗道具}
UseAntidote {使用解毒剂}
BOAL_DeadSearch {搜查尸体}
OfficersCharge {军官指令：自由攻击}
OfficersHold {军官指令：原地待命}
OfficersFollow {军官指令：跟随}
Say {采购货物}
AlchemyKey {炼金术}
MapView {地图集}
AltModificator {按下按钮打开快速旅行菜单}
AltModificatorOff {松开按钮以打开快速旅行菜单}
Fast_store {快速前往：商店}
Fast_Shipyard {快速前往：船厂}
Fast_tavern {快速前往：酒馆}
Fast_townhall {快速移动：市政厅}
Fast_bank {快速移动：银行}
Fast_church {快速移动：教堂}
Fast_Brothel {快速移动：妓院}
Fast_PortOffice {快速移动：港务局}
Fast_prison {快速移动：监狱}
Fast_Port {快速移动：港口}
ChrForward1 {前进（备用）}
ChrBackward1 {后退}
ChrRunStick {切换步行/奔跑}
BOAL_ActivateRush {激活技能“狂暴”}
HK_SecondWind {激活技能“第二次呼吸”}
ChrBlock {格挡}
ChrAltAttackBase {劈砍攻击 / 群体攻击}
ChrAttackBreakBase {重击 / 佯攻}
ChrAttackBase {突刺攻击 / 招架}
ChrAttackChoseBase {切换攻击模式}
ChrAttackFient {佯攻（替代）}
ChrParry {格挡（替代）}
ChrFire {开火}
ChrAiming {狙击模式（按住）}
ChrAimingShot {射击}
RunLootCollector {使用“快速拾取”}
CharacterCamera_Forward {拉近角色镜头}
CharacterCamera_Backward {拉远角色摄像机}
ChrSwitchFightMode {切换战斗模式}
SwitchCameraOffset {切换第一/第三人称视角}
ChrSwitchWalk {切换步行/奔跑}
DeckCamera_Left {左侧平移（甲板视角）}
DeckCamera_Right {右侧平移（甲板视角）}
ChrTurnH {角色旋转}
ChrTurnV {角色移动}
ChrTurnHL {角色向左旋转}
ChrTurnHR {角色向右旋转}
ChrRecoil {反弹}
ChrAttackForce {快速攻击}
ChrAttackFast {劈砍攻击}
ChrAttackRound {群体攻击}
ChrAttackBreak {重击}
ChrAttackRoundBase {群体攻击}
BI_MapEnter {全球地图}
WMapTurnH {在地图模式下环绕船只旋转相机}
WMapTurnV {地图模式下的相机高度}
WMapCameraRotate {开启镜头滑动/旋转模式}
WMapForward {拉近镜头}
WMapBackward {拉远镜头}
WMapCameraSwitch {切换视图模式}
WMapShipSailUp {前进}
WMapShipSailDown {返回航行}
WMapShipTurnLeft {向左转}
WMapShipTurnRight {向右转}
WMapCancel {离开地图前往大海}
TimeScaleOn {加速时间}
TimeScaleOff {关闭加速}
TimeScale {时间加速/减速}
TimeScaleFasterBA {时间加速}
TimeScaleSlowerBA {时间减速}
Help {游戏帮助}
BICommandsActivate {指令菜单}
LICommandsActivate {指令菜单}
BICommandsActivateAdd {指令菜单（备用）}
BICommandsConfirm {确认指令}
BICommandsCancel {取消指令}
BICommandsConfirmAdd {确认指令（备用）}
BICommandsCancelAdd {取消指令（备用）}
BICommandsLeft {操作菜单 - 向左导航}
BICommandsRight {操作菜单 - 向右导航}
HelpChooser_Cancel {退出帮助}
HelpChooser_Action {显示当前元素的帮助}
HelpChooser_Next {下一个帮助元素}
HelpChooser_Prev {上一个帮助项}
HelpChooser_Left {向左（帮助模式下）}
HelpChooser_Right {右（帮助模式下）}
HelpChooser_Up {上（帮助模式）}
HelpChooser_Down {向下（帮助模式）}
DlgAction {对话中选择回复}
DlgAction1 {对话中选择回复}
DlgUp {上一个对话回复}
DlgDown {对话中下一个回复}
DlgScrollUp {向下滚动对话}
DlgScrollDown {向上滚动对话}
hk_Cure {使用治疗药剂}
hk_Rush {使用“狂怒”技能}
