Antigua 			{Antigua}
Barbados 			{Barbados}
Bermudes 			{Bermuda}
Beliz 				{Yucatan}
Cuba 				{Cuba}
Cuba1 				{Cuba}
Cuba2 				{Cuba}
Caiman 				{Cayman}
Cumana				{Cumana}
Caracas 			{Caracas}
Curacao 			{Curacao}
Cartahena 			{Cartagena}
Dominica 			{Dominica}
Guadeloupe 			{Guadeloupe}
Hispaniola 			{Hispaniola}
Hispaniola1			{Hispaniola}
Hispaniola2 		{Hispaniola}
Jamaica				{Jamaica}
Maracaibo 			{Maracaibo}
Martinique			{Martinique}
Mariegalante		{Marie-Galante}
SentMartin			{Saint-Martin}
Nevis				{Nevis}
PuertoRico			{Puerto Rico}
PortoBello 			{Portobelo}
Pearl 				{Pearl Shore}
Panama 				{Panama}
SantaCatalina 		{Santa Catalina}
Terks				{Turks}
Tortuga				{Tortuga}
Trinidad			{Trinidad and Tobago}
Providence 			{Old Providence}
Tenotchitlan 		{Texcoco}
Mein 				{Main}

SentJons_town 		{Saint John's}
Pirates_town		{Scullshores}
Bridge_town			{Bridgetown}
Beliz_town			{Belize}
Santiago_town		{Santiago}
PuertoPrincipe_town	{Puerto del Principe}
Havana_town			{Havana}
Cumana_town			{Cumana}
Caracas_town		{Caracas}
Villemstad_town		{Willemstad}
Cartahena_town		{Cartagena}
BasTer_town			{Basse-Terre}
SantoDomingo_town	{Santo Domingo}
LaVega_town			{La Vega}
PortPax_town		{Port-au-Prince}
PortRoyal_town		{Port Royal}
Maracaibo_town		{Maracaibo}
FortFrance_town 	{Fort-de-France} 
LeFransua_town		{Le Francois}
Marigo_town			{Marigot}
Charles_town 		{Charlestown}
SanJuan_town 		{San Juan}
PortoBello_town 	{Portobelo}
Panama_town			{Panama}
SantaCatalina_town	{Santa Catalina}
Tortuga_town		{Tortuga}
PortSpein_town		{Port of Spain}
Providencia_town 	{Providencia}
FortOrange_town 	{Fort Orange}
Tenotchitlan_town	{Tenochtitlan}
Estate 				{Oglethorpe's estate, England}
DesMoines 			{Des Moines}

Shore1 				{Cape Boon}
Shore2				{Willoughby Bay}
Shore3				{Ruin Shore}
Shore4				{Harrison Cape}
Shore5				{Cape Ragged Point}
Shore6				{Cabo Catoche}
Shore7				{Cozumel Bay}
Shore8				{Chetumal Bay}
Shore9				{Amatique Bay}
Shore10				{Caratasca Lagoon}
Shore11				{Cape Camaguey}
Shore12				{Anna Maria Bay}
Shore13				{Batabano Bay}
Shore14				{Juventud Cove}
Shore15				{Cape San Antonio}
Shore16				{Desert Coast}
Shore17				{Esmeralda Bay}
Shore18				{Boca de la Serpienta Coast}
Shore19				{Carupano Cove}
Shore20				{Los-Teques Beach}
Shore21				{Cape Aruba}
Shore22				{Palm Shore}
Shore23				{Cape Calvinist}
Shore24				{Blanca Lagoon}
Shore25				{Covenas Cove}
Shore26				{Castle Bruce Beach}
Shore27				{Cape Scott's Head}
Shore28				{Morne-a-l'Eau Cove}
Shore29				{Capster Beach}
Shore30				{Grand-Bourg Cove}
Shore31				{Cape Inaccessible}
Shore32				{Cape Isabella}
Shore33				{Samana Cove}
Shore34				{Gonaives Bay}
Shore35				{Cape Negril}
Shore36				{Portland Bay}
Shore37				{Guajira Bay}
Shore38				{Lamentin Bay}
Shore39				{Le Marin Cove}
Shore40				{Salvation Coast}
Shore41				{Furious Wind Bay}
Shore42				{Newcastle Bay}
Shore43				{White Bay}
Shore44				{Aguadilla Bay}
Shore45				{Fajardo Beach}
Shore46				{Chiriqui Lagoon}
Shore47				{Mosquitoes Bay}
Shore48				{Gulf of Darien}
Shore49				{Gulf of Papagayo}
Shore50				{Gulf of Nicoya}
Shore51				{Coronado Bay}
Shore52				{Golfo Dulce}
Shore53				{Mosquito Coast}
Shore54				{Cape Perlas}
Shore55				{Bay of San Juan del Norte}
Shore56				{Northern Bay}
Shore57				{Southern Bay}
Shore58				{Fisheye Beach}
Shore59				{Scarborough Cove}
Shore60				{Galera Point}
Shore61				{Tepeyakak}
Shore62				{Iztapalapa}
Shore63				{San Miguel Bay}
Shore64				{Playa Manzanillo}
Shore65				{Morgan's Head}

Shore_ship1			{Bay Of A Wrecked Ship}
Shore_ship2			{Gulf of Doom}
Shore_ship3			{Cape of Delusive Hopes}

Mayak1				{Trinidad Lighthouse}
Mayak2				{Barbados Lighthouse}
Mayak3				{Port Royal Lighthouse}
Mayak4				{Guadeloupe Lighthouse}
Mayak5 				{Nevis Lighthouse}
Mayak6				{Tortuga Lighthouse}
Mayak7				{Port-au-Prince Lighthouse}
Mayak8				{Santo Domingo Lighthouse}
Mayak9				{Santiago Lighthouse}
Mayak10				{Havana Lighthouse}
Mayak11				{Cartagena Lighthouse}

Bridgetown			{Bridgetown}
Bridgetown Town		{Bridgetown}
Bridgetown Fort		{Fort of Bridgetown}
Bridgetown Port		{Port of Bridgetown}

SanJuan				{San Juan}
SanJuan Town		{San Juan}
SanJuan Fort		{Fort of San Juan}
SanJuan Port		{Port of San Juan}

Santiago			{Santiago}
Santiago Town		{Santiago}
Santiago Fort		{Fort Santiago}
Santiago Port		{Port Santiago}

PuertoPrincipe		{Puerto del Principe}
PuertoPrincipe Town	{Puerto del Principe}
PuertoPrincipe Fort	{Fort of Puerto del Principe}
PuertoPrincipe Port	{Port of Puerto del Principe}

SentJons 			{Saint John's}
SentJons Town 		{Saint John's}
SentJons Fort 		{Saint John's Fort}
SentJons Port 		{Saint John's Port}

PortRoyal			{Port Royal}
PortRoyal Town		{Port Royal}
PortRoyal Fort		{Fort of Port Royal}
PortRoyal Port		{Port of Port Royal}

FortOrange 			{Fort Orange}
FortOrange Town 	{Fort Orange}

Villemstad			{Willemstad}
Villemstad Town		{Willemstad}
Villemstad Fort		{Fort of Willemstad}
Villemstad Port		{Port of Willemstad}

BasTer				{Basse-Terre}
BasTer Town			{Basse-Terre}
BasTer Fort			{Fort of Basse-Terre}
BasTer Port			{Port of Basse-Terre}

LaVega				{La Vega}
LaVega Town			{La Vega}
LaVega Fort			{Fort of La Vega}
LaVega Port			{Port of La Vega}

SantoDomingo		{Santo Domingo}
SantoDomingo Town	{Santo Domingo}
SantoDomingo Fort	{Fort Santo-Domingo}
SantoDomingo Port	{Port of Santo-Domingo}

rtPax				{Port-au-Prince}
PortPax Town		{Port-au-Prince}
PortPax Fort		{Fort of Port-au-Prince}
PortPax Port		{Port of Port-au-Prince}

Pirates				{Scullshores}
Pirates Town 		{Scullshores}
Pirates Port 		{Port of Scullshores}

FortFrance 			{Fort-de-France}
FortFrance Town 	{Fort-de-France}
FortFrance Fort 	{Fort of Fort-de-France}
FortFrance Port 	{Port of Fort-de-France}

LeFransua 			{Le Francois}
LeFransua Town 		{Le Francois}
LeFransua Port 		{Port Le Francois}

Havana				{Havana}
Havana Town			{Havana}
Havana Fort			{Fort of Havana}
Havana Port			{Port of Havana}

Charles 			{Charlestown}
Charles Town 		{Charlestown}
Charles Fort 		{Fort of Charlestown}
Charles Port 		{Port of Charlestown}

PortoBello Town 	{Portobelo}
PortoBello Fort 	{Fort of Portobelo}
PortoBello Port 	{Port of Portobelo}

PortSpein 			{Port of Spain}
PortSpein Town 		{Port of Spain}
PortSpein Fort 		{Fort of Port of Spain}
PortSpein Port 		{Port of Port of Spain}

Tortuga Town 		{Tortuga}
Tortuga Fort		{Fort of Tortuga}
Tortuga Port 		{Port of Tortuga}

Marigo 				{Marigot}
Marigo Town 		{Marigot}
Marigo Fort 		{Fort Marigot}
Marigo Port 		{Port Marigot}

Panama Town			{Panama}
Panama Fort			{Fort of Panama}
Panama Port			{Port of Panama}

Cartahena Town		{Cartagena}
Cartahena Fort		{Fort of Cartagena}
Cartahena Port		{Port of Cartagena}

Maracaibo Town		{Maracaibo}
Maracaibo Fort		{Fort of Maracaibo}
Maracaibo Port		{Port of Maracaibo}

Caracas Town		{Caracas}
Caracas Fort		{Fort of Caracas}
Caracas Port		{Port of Caracas}

Cumana Town			{Cumana}
Cumana Fort			{Fort of Cumana}
Cumana Port			{Port of Cumana}

SantaCatalina Town 	{Santa Catalina}
SantaCatalina Fort 	{Fort Santa Catalina}
SantaCatalina Port 	{Port Santa Catalina}

Beliz Town			{Belize}
Beliz Fort			{Fort of Belize}
Beliz Port			{Port of Belize}

Providencia 		{Providencia}
Providencia Town 	{Providencia}
Providencia Fort 	{Fort of Providencia}
Providencia Port 	{Port of Providencia}

Philipsburg 		{Philipsburg}
Philipsburg Town 	{Philipsburg}
Philipsburg Fort 	{Fort of Philipsburg}
Philipsburg Port 	{Port of Philipsburg}

Fort inside 		{Fort (interior)}
Sea 				{Sea}
Jungle 				{Jungle}
Street 				{Street}
Port 				{Port}
Tavern 				{Tavern}
BlueLion 			{Tavern 'Blue Lion'}
Tavern upstairs 	{Room in tavern}
Store				{Store}
Shipyard			{Shipyard}
Packhouse			{Packhouse}
PackhouseOffice 	{Office}
Warehouse			{Warehouse}
Townhall 			{Residence}
Residence 			{Residence}
TownhallRoom 		{Room in residence}
PortOffice 			{Port Authority}
Church 				{Church}
Doctor				{Doctor's House}
Farmacia 			{Pharmacy}
Usurer House 		{Bank}
Bankvault 			{Bank vault}
Brothel 			{Brothel}
Brothel Room 		{Private Room}
Prison 				{Prison}
Incquisitio 		{Inquisition}
Malta_Dungeon 		{Order of Malta}
GWIKshort 			{Headquarters WIC}
House				{House}
ammo 				{Armory}
Room 				{Room}
Cabinet 			{Study}
Bedroom 			{Bedroom}
Graveyard 			{Graveyard}
Chapel 				{Chapel}
Crypt 				{Crypt}
Crypt dungeon 		{Crypt Dungeon}
Exit				{Quit}
ExitTown 			{Exit to jungle}
Gate 				{Town Gate}
Duel Field			{Dueling field}
The cavern 			{Cave}
Passage 			{Suspension bridge}
Beach 				{Beach}
Cave				{Cave}
Cave entrance 		{Cave entrance}
Grot 				{Grotto}
Grotto				{Grotto}
Mines 				{Mines}
Dungeon 			{Dungeon}
Village 			{Village}
Plantation 			{Plantation}
Minentown	 		{Mine town}
Commandant			{Commandant's office}
UnderWater 			{Under Water}
KeepersHouse 		{Keeper's house}
Lighthouse Inside 	{Lighthouse tower}
GoToPlantation 		{Passage to plantation}

MinentownOL 		{Oranje-Lavas mine}
MineTown_residence 	{Commandant's of Oranje-Lavas office}

Reefs				{Northern Reef}

My_Ship				{Ship}
cabine 				{Cabin}
My_Campus 			{Wardroom}
My_Deck_Medium		{Gundeck}
My_Deck				{Cargo hold}
My_Orlop			{Orlop deck}
Boarding deck		{Upper deck}
Orlop deck			{Orlop deck}


Morgan's House 		{Morgan's residence}
Morris's House 		{John Morris's house}
Aaron's House 		{Aaron Mendes Chumaceiro's house}
Comendant's House 	{Havana Commandant's house}
DEstre House 		{Henri d'Estre's House}
InesHouse 			{Ines de Las Sierra's House}
Olone House 		{Francois Lolonois' House}
Ascold House 		{Ascold's House}
Isabella's House 	{Isabella's House}
Rosita's House 		{Rosita Fernandez's House}
Loy_House 			{Edward Lowe's House}
