Viking_names_1 {Bjarni}
Viking_names_2 {Thorkell}
Viking_names_3 {Olaf}
Viking_names_4 {Torgils}
Viking_names_5 {Harald}
Viking_names_6 {Thorir}
Viking_names_7 {Bjorn}
Viking_names_8 {Jofurr}
Viking_names_9 {Svan}
Viking_names_10 {Ingvar}
Viking_names_11 {Eivar}
Viking_names_12 {Gunnar}
Viking_names_13 {Hrodud}
Viking_names_14 {Brynjar}
Viking_names_15 {Haldor}
Viking_names_16 {Freyr}
Viking_names_17 {Farbjorn}
Viking_names_18 {Nattfari}
Viking_names_19 {Gardar}
Viking_names_20 {Arnbrandr}
Viking_names_50 {Herjulfsson}
Viking_names_51 {Agnarsson}
Viking_names_52 {Tryggvasson}
Viking_names_53 {Hamundsson}
Viking_names_54 {Sigurdsson}
Viking_names_55 {Nordnarsson}
Viking_names_56 {Halbjornsson}
Viking_names_57 {Kveldulfsson}
Viking_names_58 {Olofsson}
Viking_names_59 {Eriksson}
Viking_names_60 {Svensson}
Viking_names_61 {Karlsson}
Viking_names_62 {Jonsson}
Viking_names_63 {Olsson}
Viking_names_64 {Gunnarsson}
Viking_names_65 {Leifsson}
Viking_names_66 {Ragnarsson}
Viking_names_67 {Ingvarsson}
Viking_names_68 {Haraldsson}
Viking_names_69 {Bjarnason}
