Ship_critical {Kritischer Treffer!}
Ship_sunk {%1 „%2“ ist gesunken. +%3 Erfahrung erhalten.}
Ship_sunk_other {%1 „%2“ ist gesunken.}
Ship_got_good {%1 Zentner %2 an Bord genommen}
Ship_cant_got_good {Kein Platz für %1}
Fort_destroy {Fort %1 ist zerstört. +%2 Erfahrung erhalten.}
Fort_destroy_notif {Festungsartillerie ausgeschaltet!}
Fort_cannon {Die Kanone des Forts ist zerstört!}
seg_Balls {Vollkugeln}
seg_Grapes {Kartätschen}
seg_Knippels {Kettenkugeln}
seg_Bombs {Bomben}
seg_Sailcloth {Segeltuch}
seg_Planks {Planken}
seg_Slaves {Sklaven}
seg_Wheat {Weizen}
seg_Ebony {Ebenholz}
seg_Chocolate {Kakao}
seg_Sugar {Zucker}
seg_Wine {Wein}
seg_Linen {Leinen}
seg_Rum {Rum}
seg_Tobacco {Tabak}
seg_Coffee {Kaffee}
seg_Mahogany {Mahagoni}
seg_Cinnamon {Vanille}
seg_Copra {Kopra}
seg_Paprika {Paprika}
seg_Fruits {Früchte}
seg_Ale {Ale}
seg_Silk {Seide}
seg_Clothes {Kleidung}
seg_Cotton {Baumwolle}
seg_Sandal {Sandelholz}
seg_Leather {Leder}
seg_Oil {Öle}
seg_Food {Proviant}
seg_Weapon {Waffen}
seg_Gold {Gold}
seg_Silver {Silber}
seg_Powder {Schwarzpulver}
seg_Brick {Ziegel}
seg_Medicament {Medikamente}
seg_Cannon_3 {3p. Falkonette}
seg_Cannon_6 {6-Pfünder-Kanonen}
seg_Cannon_8 {8-Pfünder-Kanonen}
seg_Cannon_12 {12-Pfünder-Kanonen}
seg_Cannon_16 {16-Pfünder-Kanonen}
seg_Cannon_20 {20-Pfünder-Kanonen}
seg_Cannon_24 {24-Pfünder-Kanonen}
seg_Cannon_32 {32-Pfünder-Kanonen}
seg_Cannon_36 {36-Pfünder-Kanonen}
seg_Cannon_42 {42-Pfünder-Kanonen}
seg_Culverine_8 {8-Pfünder-Kulverinen}
seg_Culverine_12 {12-Pfünder-Kulverinen}
seg_Culverine_16 {16-Pfünder-Kulverinen}
seg_Culverine_24 {24-Pfünder-Kulverinen}
seg_Culverine_32 {32-Pfünder-Kulverinen}
sea_exp_add {+%1 EP erhalten}
