Antigua				{Антигуа}
Barbados			{Барбадос}
Bermudes			{Бермуды}
Beliz				{Юкатан}
Cuba   				{Куба}
Cuba1   			{Куба}
Cuba2   			{Куба}
Caiman 				{Кайман}
Cumana 				{Кумана}
Caracas 			{Каракас}
Curacao				{Кюрасао}
Cartahena 			{Картахена}
Dominica			{Доминика}
Guadeloupe			{Гваделупа}
Hispaniola 			{Эспаньола}
Hispaniola1			{Эспаньола}
Hispaniola2 		{Эспаньола}
Jamaica				{Ямайка}
Maracaibo 			{Маракайбо}
Martinique			{Мартиника}
Mariegalante		{Мари-Галант}
SentMartin			{Сан Мартин}
Nevis				{Невис}
PuertoRico			{Пуэрто-Рико}
PortoBello 			{Портобело}
Pearl 				{Жемчужный Берег}
Panama 				{Панама}
SantaCatalina 		{Санта-Каталина}
Terks				{Теркс}
Tortuga				{Тортуга}
Trinidad			{Тринидад и Тобаго}
Providence 			{Олд Провиденс}
Tenotchitlan 		{оз. Тескоко}
Mein 				{Мэйн}

SentJons_town 		{Сент-Джонс}
Pirates_town		{Скаллшорз}
Bridge_town			{Бриджтаун}
Beliz_town			{Белиз}
Santiago_town		{Сантьяго}
PuertoPrincipe_town	{Пуэрто-Принсипе}
Havana_town			{Гавана}
Cumana_town			{Кумана}
Caracas_town		{Каракас}
Villemstad_town		{Виллемстад}
Cartahena_town		{Картахена}
BasTer_town			{Бас Тер}
SantoDomingo_town	{Санто-Доминго}
LaVega_town			{Ла Вега}
PortPax_town		{Порт-о-Принс}
PortRoyal_town		{Порт-Ройал}
Maracaibo_town		{Маракайбо}
FortFrance_town		{Фор-де-Франс}
LeFransua_town		{Ле Франсуа}
Marigo_town			{Мариго}
Charles_town		{Чарлстаун}
SanJuan_town		{Сан-Хуан}
PortoBello_town		{Портобело}
Panama_town			{Панама}
SantaCatalina_town	{Санта-Каталина}
Tortuga_town		{Тортуга}
PortSpein_town		{Порт-оф-Спейн}
Providencia_town 	{Провиденсия}
FortOrange_town 	{Форт Оранж}
Tenotchitlan_town	{Теночтитлан}
Estate 				{Имение Оглторпа, Англия}
DesMoines 			{Дес-Мойнес}

Shore1				{мыс Бун}
Shore2				{залив Уиллогби}
Shore3				{залив Руны}
Shore4				{мыс Гаррисон}
Shore5				{мыс Раггед Пойнт}
Shore6				{мыс Каточе}
Shore7				{залив Косумель}
Shore8				{бухта Четумаль}
Shore9				{бухта Аматике}
Shore10				{лагуна Каратаска}
Shore11				{мыс Камагуэй}
Shore12				{залив Анна Мария}
Shore13				{залив Батабано}
Shore14				{бухта Хувентуд}
Shore15				{мыс Сан Антонио}
Shore16				{Пустынный пляж}
Shore17				{залив Эсмеральды}
Shore18				{берег Бока де ла Сьерпе}
Shore19				{бухта Карупано}
Shore20				{пляж Лос Текес}
Shore21				{мыс Аруба}
Shore22				{Пальмовый берег}
Shore23				{мыс Кальвинистов}
Shore24				{лагуна Бланка}
Shore25				{бухта Ковеньяс}
Shore26				{пляж Касл Брус}
Shore27				{мыс Скотс Хед}
Shore28				{бухта Морн л'О}
Shore29				{пляж Капстер}
Shore30				{бухта Гран Бур}
Shore31				{мыс Недоступный}
Shore32				{мыс Исабела}
Shore33				{бухта Самана}
Shore34				{бухта Гонаив}
Shore35				{мыс Негрил}
Shore36				{бухта Портленд}
Shore37				{бухта Гуахира}
Shore38				{пляж Ламантен}
Shore39				{бухта Ле Марен}
Shore40				{берег Спасения}
Shore41				{бухта Неистового ветра}
Shore42				{бухта Ньюкасл}
Shore43				{пляж Уайт}
Shore44				{бухта Агуадилья}
Shore45				{пляж Фахардо}
Shore46				{лагуна Чирики}
Shore47				{залив Москитос}
Shore48				{Дарьенский залив}
Shore49				{залив Папагайо}
Shore50				{залив Никоя}
Shore51				{залив Коронадо}
Shore52				{залив Гольфо Дульсе}
Shore53				{Берег Москитов}
Shore54				{мыс Перлас}
Shore55				{залив Сан Хуан дель Норте}
Shore56				{залив Северный}
Shore57				{залив Южный}
Shore58				{пляж Глаз Рыбы}
Shore59				{бухта Скарборо}
Shore60				{мыс Галера}
Shore61				{Тепейакак}
Shore62				{Истапалапу}
Shore63				{залив Сан Мигель}
Shore64				{пляж Мансанильо}
Shore65				{мыс Моргана}

Shore_ship1			{бухта разбитого корыта}
Shore_ship2			{залив Гибели}
Shore_ship3			{мыс Несбывшихся надежд}

Mayak1 				{Маяк Тринидада}
Mayak2 				{Маяк Барбадоса}
Mayak3 				{Маяк Порт-Ройал}
Mayak4 				{Маяк Гваделупы}
Mayak5 				{Маяк Невиса}
Mayak6 				{Маяк Тортуги}
Mayak7 				{Маяк Порт-о-Принса}
Mayak8 				{Маяк Санто-Доминго}
Mayak9 				{Маяк Сантьяго}
Mayak10 			{Маяк Гаваны}
Mayak11 			{Маяк Картахены}

Bridgetown 			{Бриджтаун}
Bridgetown Town 	{Бриджтаун}
Bridgetown Fort 	{форт Бриджтауна}
Bridgetown Port 	{порт Бриджтауна}

SanJuan 			{Сан-Хуан}
SanJuan Town 		{Сан-Хуан}
SanJuan Fort 		{форт Сан-Хуана}
SanJuan Port 		{порт Сан-Хуана}

Santiago 			{Сантьяго}
Santiago Town 		{Сантьяго}
Santiago Fort 		{форт Сантьяго}
Santiago Port 		{порт Сантьяго}

PuertoPrincipe 		{Пуэрто-Принсипе}
PuertoPrincipe Town {Пуэрто-Принсипе}
PuertoPrincipe Fort {форт Пуэрто-Принсипе}
PuertoPrincipe Port {порт Пуэрто-Принсипе}

SentJons 			{Сент-Джонс}
SentJons Town 		{Сент-Джонс}
SentJons Fort 		{форт Сент-Джонса}
SentJons Port 		{порт Сент-Джонса}

PortRoyal 			{Порт-Ройал}
