Bridgetown_Hostess_name {Анжела}
Bridgetown_Hostess_lastname {Джоли}
Jackman_name {Джейкоб}
Jackman_lastname {Факмен}
Jackman_ship {Манчестер}
Jackman_ship2 {Фортунато}
Pirates_tavernkeeper_name {Лаки}
Pirates_tavernkeeper_lastname {Росин}
Pirates_trader_name {Паскаль}
Pirates_trader_lastname {Вуазье}
Pirates_shipyarder_name {Мастер}
Pirates_shipyarder_lastname {Алексус}
Cartahena_Lightman_name {Альварес}
Cartahena_Lightman_lastname {Ортега}
Villemstad_waitress_name {Таннекен}
Villemstad_waitress_lastname {Клеменс}
Villemstad_trader_name {Джоао}
Villemstad_trader_lastname {Ильхайо}
Villemstad_usurer_name {Йозеф Нунен}
Villemstad_usurer_lastname {де Фонкесао}
Villemstad_Hostess_name {Дианта}
PortRoyal_Hostess_name {Литисия}
HWIC_headclerk_name {Корис}
HWIC_headclerk_lastname {Герритц}
Minetown_Commend_name {Лауренс}
Minetown_Commend_lastname {Турк}
Edward_Mansfield_name {Эдвард}
Edward_Mansfield_lastname {Мэнсфилд}
FortFrance_tavernkeeper_name {Весельчак Жером}
FortFrance_Hostess_name {Анжелика}
LeFransua_Mayor_name {Бартоломью}
LeFransua_Mayor_lastname {Роджерс}
Charles_Hostess_name {Вивьен}
LeFransua_tavernkeeper_name {Снейкман}
LeFransua_tavernkeeper_lastname {Янг}
Charles_tavernkeeper_name {Одноглазый}
Charles_tavernkeeper_lastname {Стид Хантер}
BoatChar_name {Моряк}
Skorlupka_name {Скорлупка}
Panama_Hostess_name {Симона}
PortoBello_tavernkeeper_name {Роландо}
PortoBello_tavernkeeper_lastname {Пицарро}
Providencia_Mayor_name {Эдвард}
Providencia_Mayor_lastname {Кольер}
Providencia_tavernkeeper_name {Джей}
Providencia_tavernkeeper_lastname {Тёрколтон}
Providencia_trader_name {Ицхак}
Providencia_trader_lastname {Кацман}
Providencia_Hostess_name {Десире}
Providencia_Hostess_lastname {Вернон-Девернон}
Richard_Soukins_name {Ричард}
Richard_Soukins_lastname {Соукинс}
Richard_Soukins_ship {Счастливчик}
PuertoPrincipe_trader_name {Джон}
PuertoPrincipe_trader_lastname {Нортон}
SantoDomingo_Hostess_name {Милантра}
Marigo_Hostess_name {Иоланта}
Santiago_Mayor_name {Хосе}
Santiago_Mayor_lastname {Санчо Хименес}
eng_guber_name {Томас}
eng_guber_lastname {Мэдифорд}
spa_guber_name {Франсиско}
spa_guber_lastname {Орегон-и-Гаскон}
fra_guber_name {Бертран}
fra_guber_lastname {д'Ожерон}
hol_guber_name {Петер}
hol_guber_lastname {Стэвезант}
Henry_Morgan_name {Генри}
Henry_Morgan_lastname {Морган}
Henry_Morgan_ship {Оксфорд}
Oliver_Green_name {Оливер}
Oliver_Green_lastname {Грин}
