Viking_names_1 {Бьярни}
Viking_names_2 {Торкелл}
Viking_names_3 {Олаф}
Viking_names_4 {Торгильс}
Viking_names_5 {Харальд}
Viking_names_6 {Торир}
Viking_names_7 {Бьёрн}
Viking_names_8 {Йофур}
Viking_names_9 {Сван}
Viking_names_10 {Ингвар}
Viking_names_11 {Эйвар}
Viking_names_12 {Гуннар}
Viking_names_13 {Хродуд}
Viking_names_14 {Бриньяр}
Viking_names_15 {Хальдор}
Viking_names_16 {Фрейр}
Viking_names_17 {Фарбьерн}
Viking_names_18 {Наттфари}
Viking_names_19 {Гардар}
Viking_names_20 {Арнбранд}
Viking_names_50 {Херьюльфссон}
Viking_names_51 {Агнарссон}
Viking_names_52 {Трюггвассон}
Viking_names_53 {Хамундссон}
Viking_names_54 {Сигурдссон}
Viking_names_55 {Норднарссон}
Viking_names_56 {Халбьёрнссон}
Viking_names_57 {Квельдульфссон}
Viking_names_58 {Олафссон}
Viking_names_59 {Эрикссон}
Viking_names_60 {Свенссон}
Viking_names_61 {Карлссон}
Viking_names_62 {Йонссон}
Viking_names_63 {Олссон}
Viking_names_64 {Гуннарссон}
Viking_names_65 {Лейфссон}
Viking_names_66 {Рагнарссон}
Viking_names_67 {Ингварссон}
Viking_names_68 {Харальдссон}
Viking_names_69 {Бьяднасон}
