Bridgetown_Hostess_name {Angela}
Bridgetown_Hostess_lastname {Jolie}
Jackman_name {Jacob}
Jackman_lastname {Foguero}
Jackman_ship {Manchester}
Jackman_ship2 {Fortunato}
Pirates_tavernkeeper_name {Afortunado}
Pirates_tavernkeeper_lastname {Resina}
Pirates_trader_name {Pascal}
Pirates_trader_lastname {Voisier}
Pirates_shipyarder_name {Maestro}
Pirates_shipyarder_lastname {Alexus}
Cartahena_Lightman_name {Alvarez}
Cartahena_Lightman_lastname {Ortega}
Villemstad_waitress_name {Tanneken}
Villemstad_waitress_lastname {Clemens}
Villemstad_trader_name {João}
Villemstad_trader_lastname {Ilhayo}
Villemstad_usurer_name {Josef Nunen}
Villemstad_usurer_lastname {de Fonquesao}
Villemstad_Hostess_name {Dianta}
PortRoyal_Hostess_name {Litisia}
HWIC_headclerk_name {Coris}
HWIC_headclerk_lastname {Gerrits}
Minetown_Commend_name {Laurence}
Minetown_Commend_lastname {Turco}
Edward_Mansfield_name {Edward}
Edward_Mansfield_lastname {Mansfield}
FortFrance_tavernkeeper_name {Jerome el Alegre}
FortFrance_Hostess_name {Angelica}
LeFransua_Mayor_name {Bartholomew}
LeFransua_Mayor_lastname {Rogers}
Charles_Hostess_name {Vivienne}
LeFransua_tavernkeeper_name {Snakeman}
LeFransua_tavernkeeper_lastname {Yang}
Charles_tavernkeeper_name {Tuerto}
Charles_tavernkeeper_lastname {Stede Hunter}
BoatChar_name {Marinero}
Skorlupka_name {Cáscara}
Panama_Hostess_name {Simona}
PortoBello_tavernkeeper_name {Rolando}
PortoBello_tavernkeeper_lastname {Pizarro}
Providencia_Mayor_name {Edward}
Providencia_Mayor_lastname {Collier}
Providencia_tavernkeeper_name {Jay}
Providencia_tavernkeeper_lastname {Turcolton}
Providencia_trader_name {Itzhak}
Providencia_trader_lastname {Katzman}
Providencia_Hostess_name {Desiree}
Providencia_Hostess_lastname {Vernon-de-Vernon}
Richard_Soukins_name {Richard}
Richard_Soukins_lastname {Sowkins}
Richard_Soukins_ship {Afortunado}
PuertoPrincipe_trader_name {John}
PuertoPrincipe_trader_lastname {Norton}
SantoDomingo_Hostess_name {Milantra}
Marigo_Hostess_name {Yolanta}
Santiago_Mayor_name {Jose}
Santiago_Mayor_lastname {Sancho Jiménez}
eng_guber_name {Thomas}
eng_guber_lastname {Mediford}
spa_guber_name {Francisco}
spa_guber_lastname {Oregon y Gascon}
fra_guber_name {Bertrand}
fra_guber_lastname {d’Ogeron}
hol_guber_name {Peter}
hol_guber_lastname {Stuyvesant}
Henry_Morgan_name {Henry}
Henry_Morgan_lastname {Morgan}
Henry_Morgan_ship {Oxford}
Oliver_Green_name {Oliver}
Oliver_Green_lastname {Verde}
Ascold_name {Askold}
Isabella_name {Isabella}
Isabella_lastname {Olivares}
Tortuga_Hostess_name {Margarita}
Sharp_name {Bartholomew}
Sharp_lastname {Sharp}
Sharp_ship {Carronada}
Sharp_mapEnc {bergantín 'Sharponosets'}
Blaze_name {Blaze}
Blaze_lastname {Sharp}
Blaze_ship {Jabalí veloz}
BerglarSentJons_name {Waitn}
BerglarSentJons_lastname {Orest}
BerglarFortFrance_name {William}
BerglarFortFrances_lastname {Krapo}
BerglarMarigo_name {Jeff}
BerglarMarigo_lastname {Baardgras}
BerglarPanama_name {Pele}
BerglarPanama_lastname {Verge}
BerglarCartahena_name {Barrilo}
BerglarCartahena_lastname {Jovem}
BerglarSantaCatalina_name {Jenere}
BerglarSantaCatalina_lastname {Giardino}
QuetionsVillemstad_name {Irma}
QuetionsVillemstad_lastname {Banco}
QuetionsPortPax_name {Liliana}
QuetionsPortPax_lastname {Labbe}
PoorKillSponsor_name {Oliver}
PoorKillSponsor_lastname {Trust}
OffMushketer_name {Humphrey}
OffMushketer_lastname {Douglas}
QuestPirate1_name {Capitán}
QuestPirate1_lastname {Goodley}
DeadmansGod_name {Mictlantecuhtli}
MaximTailor_name {Máximo}
MaximTailor_lastname {Taylor}
MaryCelesteCapitan_name {Mary Celeste}
EmptyShip_name {El barco está vacío}
EmptyShip_mapEnc {bergantín "Mary Celeste"}
WheelFortunaShip_ship {Rueda de la Fortuna}
Atilla_name {Atilla}
PDM_PJ_Strajnik_1_name {Jory}
PDM_PJ_Strajnik_2_name {Aler}
Josephine_Lodet2_name {Vieja}
Husband_name {Salvator}
Husband_lastname {Olivares}
YokoDias_name {Yoko}
YokoDias_lastname {Diaz}
Angellica_name {Angelica}
Angellica_lastname {Sharp}
OfMush1_name {Nicolas}
OfMush1_lastname {Rimalye}
OfMush2_name {Magnus}
OfMush2_lastname {von Kokkai}
BlueBirdCapitain_name {Sandro}
BlueBirdCapitain_lastname {Thorn}
BlueBirdCapitain_ship {Bluebird}
Pirates_trader2_name {Benjamin}
Pirates_trader2_lastname {Franklin}
Emillio_name {Emilio}
Emillio_lastname {Garcia}
CapGoodly_name {Capitán}
CapGoodly_lastname {Goodley}
